product_id,product_name,gender,product_type,fit_type,size_label,chest_cm,bust_cm,waist_cm,hips_cm,shoulder_cm,sleeve_cm,length_cm,inseam_cm,notes,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,XS,94,,,,43.4,18.8,70,,Regular slim tee,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,S,99,,,,44.7,20,71,,Regular slim tee,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,M,104,,,,46,21,72,,Regular slim tee,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,L,112,,,,48,22.5,73.5,,Regular slim tee,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,XL,120,,,,50,24,75,,Regular slim tee,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,XXL,128,,,,52,25.4,76.5,,Regular slim tee,
TEE_MIN_BLACK,Minimal Black Tee,men,tshirt,true_to_size,XXXL,136,,,,54,26.4,79,,Regular slim tee,
HOODIE_CORE_GREY,Core Grey Hoodie,unisex,hoodie,oversized,S,99,,,,43.4,18.8,71,,Oversized, drop-shoulder
HOODIE_CORE_GREY,Core Grey Hoodie,unisex,hoodie,oversized,M,104,,,,44.7,20,72,,Oversized, drop-shoulder
HOODIE_CORE_GREY,Core Grey Hoodie,unisex,hoodie,oversized,L,112,,,,46,21,73.5,,Oversized, drop-shoulder
HOODIE_CORE_GREY,Core Grey Hoodie,unisex,hoodie,oversized,XL,120,,,,48,22.5,75,,Oversized, drop-shoulder
HOODIE_CORE_GREY,Core Grey Hoodie,unisex,hoodie,oversized,XXL,128,,,,50,25.4,76.5,,Oversized, drop-shoulder
JEAN_SKINNY_BLACK,Skinny Black Jeans,women,jeans,slim,EU 38,,,76,92,,,102,78,Regular fit,
JEAN_SKINNY_BLACK,Skinny Black Jeans,women,jeans,slim,EU 40,,,80,96,,,103,79,Regular fit,
JEAN_SKINNY_BLACK,Skinny Black Jeans,women,jeans,slim,EU 42,,,84,100,,,104,80,Regular fit,
JEAN_SKINNY_BLACK,Skinny Black Jeans,women,jeans,slim,EU 44,,,88,104,,,105,81,Regular fit,
JEAN_SKINNY_BLACK,Skinny Black Jeans,women,jeans,slim,EU 46,,,92,108,,,106,82,Regular fit,
JEAN_SKINNY_BLACK,Skinny Black Jeans,women,jeans,slim,EU 48,,,98,114,,,107,83,Regular fit,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,XS,,86-91,71,86,,,89,,Above-knee dress,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,S,,91-97,76,91,,,90,,Above-knee dress,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,M,,97-102,81,97,,,92,,Above-knee dress,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,L,,102-107,86,102,,,93,,Above-knee dress,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,XL,,107-112,91,107,,,94,,Above-knee dress,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,XXL,,112-117,97,112,,,95,,Above-knee dress,
DRESS_SUMMER_FLORAL,Summer Floral Dress,women,dress,true_to_size,XXXL,,117,102,117,,,96,,Above-knee dress,
